lat,long
30.2,-89.5
30.2,-89.0
30.2,-88.5
30.2,-88.0
30.2,-87.5
30.2,-87.0
30.2,-86.5
30.2,-86.0
30.2,-85.5
30.2,-84.5
30.2,-84.0
30.2,-81.5
29.7,-94.5
29.7,-94.0
29.7,-93.5
29.7,-93.0
29.7,-92.5
29.7,-92.0
29.7,-91.5
29.7,-89.5
29.7,-89.0
29.7,-88.5
29.7,-88.0
29.7,-87.5
29.7,-87.0
29.7,-86.5
29.7,-86.0
29.7,-85.5
29.7,-85.0
29.7,-84.5
29.7,-84.0
29.7,-83.5
29.2,-95.0
29.2,-94.5
29.2,-94.0
29.2,-93.5
29.2,-93.0
29.2,-92.5
29.2,-92.0
29.2,-91.5
29.2,-91.0
29.2,-90.5
29.2,-90.0
29.2,-89.5
29.2,-89.0
29.2,-88.5
29.2,-88.0
29.2,-87.5
29.2,-87.0
29.2,-86.5
29.2,-86.0
29.2,-85.5
29.2,-85.0
29.2,-84.5
29.2,-84.0
29.2,-83.5
29.2,-83.0
28.7,-96.0
28.7,-95.5
28.7,-95.0
28.7,-94.5
28.7,-94.0
28.7,-93.5
28.7,-93.0
28.7,-92.5
28.7,-92.0
28.7,-91.5
28.7,-91.0
28.7,-90.5
28.7,-90.0
28.7,-89.5
28.7,-89.0
28.7,-88.5
28.7,-88.0
28.7,-87.5
28.7,-87.0
28.7,-86.5
28.7,-86.0
28.7,-85.5
28.7,-85.0
28.7,-84.5
28.7,-84.0
28.7,-83.5
28.7,-83.0
28.7,-82.5
28.2,-96.5
28.2,-96.0
28.2,-95.5
28.2,-95.0
28.2,-94.5
28.2,-94.0
28.2,-93.5
28.2,-93.0
28.2,-92.5
28.2,-92.0
28.2,-91.5
28.2,-91.0
28.2,-90.5
28.2,-90.0
28.2,-89.5
28.2,-89.0
28.2,-88.5
28.2,-88.0
28.2,-87.5
28.2,-87.0
28.2,-86.5
28.2,-86.0
28.2,-85.5
28.2,-85.0
28.2,-84.5
28.2,-84.0
28.2,-83.5
28.2,-83.0
27.7,-97.0
27.7,-96.5
27.7,-96.0
27.7,-95.5
27.7,-95.0
27.7,-94.5
27.7,-94.0
27.7,-93.5
27.7,-93.0
27.7,-92.5
27.7,-92.0
27.7,-91.5
27.7,-91.0
27.7,-90.5
27.7,-90.0
27.7,-89.5
27.7,-89.0
27.7,-88.5
27.7,-88.0
27.7,-87.5
27.7,-87.0
27.7,-86.5
27.7,-86.0
27.7,-85.5
27.7,-85.0
27.7,-84.5
27.7,-84.0
27.7,-83.5
27.7,-83.0
27.7,-82.5
27.2,-97.0
27.2,-96.5
27.2,-96.0
27.2,-95.5
27.2,-95.0
27.2,-94.5
27.2,-94.0
27.2,-93.5
27.2,-93.0
27.2,-92.5
27.2,-92.0
27.2,-91.5
27.2,-91.0
27.2,-90.5
27.2,-90.0
27.2,-89.5
27.2,-89.0
27.2,-88.5
27.2,-88.0
27.2,-87.5
27.2,-87.0
27.2,-86.5
27.2,-86.0
27.2,-85.5
27.2,-85.0
27.2,-84.5
27.2,-84.0
27.2,-83.5
27.2,-83.0
27.2,-82.5
26.7,-97.5
26.7,-97.0
26.7,-96.5
26.7,-96.0
26.7,-95.5
26.7,-95.0
26.7,-94.5
26.7,-94.0
26.7,-93.5
26.7,-93.0
26.7,-92.5
26.7,-92.0
26.7,-91.5
26.7,-91.0
26.7,-90.5
26.7,-90.0
26.7,-89.5
26.7,-89.0
26.7,-88.5
26.7,-88.0
26.7,-87.5
26.7,-87.0
26.7,-86.5
26.7,-86.0
26.7,-85.5
26.7,-85.0
26.7,-84.5
26.7,-84.0
26.7,-83.5
26.7,-83.0
26.7,-82.5
26.7,-82.0
26.2,-97.0
26.2,-96.5
26.2,-96.0
26.2,-95.5
26.2,-95.0
26.2,-94.5
26.2,-94.0
26.2,-93.5
26.2,-93.0
26.2,-92.5
26.2,-92.0
26.2,-91.5
26.2,-91.0
26.2,-90.5
26.2,-90.0
26.2,-89.5
26.2,-89.0
26.2,-88.5
26.2,-88.0
26.2,-87.5
26.2,-87.0
26.2,-86.5
26.2,-86.0
26.2,-85.5
26.2,-85.0
26.2,-84.5
26.2,-84.0
26.2,-83.5
26.2,-83.0
26.2,-82.5
26.2,-82.0
26.2,-81.5
25.7,-97.0
25.7,-96.5
25.7,-96.0
25.7,-95.5
25.7,-95.0
25.7,-94.5
25.7,-94.0
25.7,-93.5
25.7,-93.0
25.7,-92.5
25.7,-92.0
25.7,-91.5
25.7,-91.0
25.7,-90.5
25.7,-90.0
25.7,-89.5
25.7,-89.0
25.7,-88.5
25.7,-88.0
25.7,-87.5
25.7,-87.0
25.7,-86.5
25.7,-86.0
25.7,-85.5
25.7,-85.0
25.7,-84.5
25.7,-84.0
25.7,-83.5
25.7,-83.0
25.7,-82.5
25.7,-82.0
25.7,-81.5
25.2,-97.5
25.2,-97.0
25.2,-96.5
25.2,-96.0
25.2,-95.5
25.2,-95.0
25.2,-94.5
25.2,-94.0
25.2,-93.5
25.2,-93.0
25.2,-92.5
25.2,-92.0
25.2,-91.5
25.2,-91.0
25.2,-90.5
25.2,-90.0
25.2,-89.5
25.2,-89.0
25.2,-88.5
25.2,-88.0
25.2,-87.5
25.2,-87.0
25.2,-86.5
25.2,-86.0
25.2,-85.5
25.2,-85.0
25.2,-84.5
25.2,-84.0
25.2,-83.5
25.2,-83.0
25.2,-82.5
25.2,-82.0
25.2,-81.5
24.7,-97.5
24.7,-97.0
24.7,-96.5
24.7,-96.0
24.7,-95.5
24.7,-95.0
24.7,-94.5
24.7,-94.0
24.7,-93.5
